SOURCE_OBJECT_KEY,SOURCE_SYSTEM,SUB_SOURCE_SYSTEM,SOURCE_OBJECT_TYPE,SOURCE_SYSTEM_TYPE,SOURCE_TABLE_DB,SOURCE_TABLE_SCHEMA,COLUMN_ALIAS,SOURCE_TABLE_NAME,SOURCE_TS_COLUMN_NAME,SOURCE_FILTER_CONDITION,SOURCE_DELETE_COLUMN,SOURCE_FILE_PATH,SOURCE_FILE_PATTERN,SOURCE_FILE_TYPE,SOURCE_FILE_FORMAT,SOURCE_FILE_HEADER_FLAG,FILE_FIELD_SEPARATOR,FILE_RECORD_SEPARATOR,FILE_QUOTE_CHARACTER,FILE_ESCAPE_CHARACTER,FILE_ATTRIBUTES_COUNT,DQ_CHECK_REQD,SOURCE_EXTRACT_TYPE,SOURCE_PRIMARY_COLUMNS,SOURCE_HASH_COLUMNS,SOURCE_HASH_EXCLUSION_COLUMNS,TARGET_CONTAINER_NAME,TARGET_PATH,TARGET_TABLE_NAME,IS_ACTIVE,IS_FILE_COMPRESSED,FILE_COMPRESS_FORMAT,SCD_LOAD_TYPE,SOURCE_TABLE_IS_PARTITIONED,SOURCE_TABLE_PARTITION_KEY,SOURCE_API_URL,HISTORY_LOAD_FROM_DATETIME,HISTORY_LOAD_TO_DATETIME,DELIVERY_MECHANISM,DELIVERY_FREQUENCY,OTHER_INFO_1,OTHER_INFO_1_DESCRIPTION,OTHER_INFO_2,OTHER_INFO_2_DESCRIPTION,OTHER_INFO_3,OTHER_INFO_3_DESCRIPTION,OTHER_INFO_4,OTHER_INFO_4_DESCRIPTION,TRIGGER_NAME,LOAD_DURATION_HRS,SLA_THRESHOLD,SCRIPT,DEPENDENT_SOURCE_OBJECT_KEYS,QUEUE_NAME,TARGET_SYSTEM,DAILYOVERLAP,WEEKLYOVERLAP,WEEKLYSYNCDAY,HANDLENULLSINWEEKLY,DIM_FULL_LOAD,NRT_TABLE_NAME,NRT_SCD_LOAD_TYPE
3001493,null,null,null,null,null,null,null,null,null,KYC_AML,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datamart-layer,null,B11,1,null,null,SCD-0A,null,null,null,1900-01-01T00:00:00.000Z,null,PULL,QUARTERLY,null,null,null,null,null,null,null,null,null,2160,null,null,"6000133, 6000150, 6000135, 6000136",null,null,null,null,null,null,null,null,SCD-0A
1002148,FINACLE,null,TABLE,ORACLE,FININDDB,CUSTOM,null,IBL0755_MASTER_INDENTATION_TBL,LCHG_TIME,null,null,null,null,null,null,null,null,null,null,null,null,1,TRANSACTIONAL,null,null,null,curated-layer,FINACLE/CUSTOM,IBL0755_MASTER_INDENTATION_TBL,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,3,null,null,null,null,null,null,null,TGR_FINACLE_EOD_RAW_DAILY,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
3001191,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datamart-layer,DELTA/ENTERPRISE_MART,vtcmcust,1,null,null,SCD-1,0,null,null,null,null,PULL,Daily,null,null,null,null,null,null,null,null,TGR_DATAMART_DAILY_2,24,null,null,2001194,null,DSU,null,null,null,null,null,null,SCD-1
1002149,FINACLE,null,TABLE,ORACLE,FININDDB,CUSTOM,null,IBL0755_MASTER_PARAMETER_TBL,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,FINACLE/CUSTOM,IBL0755_MASTER_PARAMETER_TBL,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,2,INDICATES TABLE PRIORITY TO BE INGESTED ON DAILY BASIS,null,null,null,null,null,null,TGR_FINACLE_EOD_RAW_DAILY,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
3001289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datamart-layer,DELTA/ENTERPRISE_MART,dimaccountcasa,1,null,null,SCD-1,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,TGR_DATAMART_DAILY_4,24,null,null,"3001280,2001084,3001266,2001055,2001045,3001263,3001325,3001267,3001200,2001039,3001274,2001037,3001317",null,DSU,null,null,null,null,null,null,SCD-1
1002150,FINACLE,null,TABLE,ORACLE,FININDDB,CUSTOM,null,IBL0777_CTDSITR_TBL,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,FINACLE/CUSTOM,IBL0777_CTDSITR_TBL,1,null,null,SCD-0A,0,null,null,null,null,PULL,DAILY,2,INDICATES TABLE PRIORITY TO BE INGESTED ON DAILY BASIS,null,null,null,null,null,null,TGR_FINACLE_EOD_RAW_DAILY,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0A
1029009,CREDPRO,null,TABLE,SQLSERVER,CREDPRO_SIT,DBO,"CredPro_ID,Application_ID,Restarted_Application,Name_of_the_Borrower,PAN_No,CIF_ID,Constitution,Group_Name,Zone,State,CreditCenter,Branch,LMS_ID,Credit_Analyst,CreditLoginBy,Unit_Head,Zonal_Head,Regional_Head,RM,CurrentUserName,CurrentUserRole,CurrentRole_PendingSince,Sourcing_Channel,SourcingChannelType,SourcingChannelTypeDesc,Mode_of_Facility,[BT Bank Name] AS BT_Bank_Name,Product,Type_of_application,Fund_Based,Non_Fund_Based,Loans,Derivatives_as_per_PFE_amount,Derivatives_as_per_Notion_Amount,Total_Facility,Incremental_Exposure_In_lakhs,Application_Start_Date,Date_of_Login,Login_month,Login_Acceptance_date,Application_Closed_Date,Login_to_Acceptance_TAT,Business_TAT,Credit_TAT,Committee_TAT,Total_TAT,Proposed_Banking_Arrangement,Status_of_application,Reasons_of_Decline_Withdrawn_Rejection,Reasons_of_Decline_Withdrawn_Additional_remarks,Approving_Authority,[Is Manual Override] AS Is_Manual_Override,[Manual Override DOP] AS Manual_Override_DOP,[Manual Override Comments] AS Manual_Override_Comments,Credit_Approver_Name,Secretory_Vote,Credit_Sec_Name,Internal_Score_Rating,External_Rating,Business_Type,MSME_Type,[Tertiary Industry Name] AS Tertiary_Industry_Name,Nature_of_Business,[Secondary Industry Name] AS Secondary_Industry_Name,Latest_Audited_Financial,Latest_Audited_Turnover,Exposure_Deviations,Borrower_profile_Deviations,Financial_Parameters_Deviations,Banking_History_Deviations,Default_History_Deviations,Owner_Margin_Deviations,Risk_Parameter_Score_Deviations,Promoter_and_Guarantor_Age_Deviations,Assessment_Deviations,Collateral_Deviations,Personal_Guarantee_Deviations,Tenor_Deviations,Other_Deviations,Approval_Month,CrossCollateral,Segment_Cross_Collateral,Disbusrement_Date,Actual_Collateral_Cover,ActualCoverPercent,RM_UID,CreditAnalyst_UID,COUNT_POST_CFD,TOTAL_COUNT,WFName,M_WF_ID,[Report Date] AS Report_Date,SanctionDate,LegalEntityIdentifier,LegalEntityIdentifierExpiryDate,URCAvailable,URCNumber,UdyamRegistrationCertificationDate,FinacleMSMEClassification,SubSegment,ProposedReviewDate,CIBILRank,CIBILDate,CounterpartyAlias,[Credit Limit] AS Credit_Limit",MISTRACKERHISTORYDETAILS_REPORT,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,CREDPRO/DBO,MISTRACKERHISTORYDETAILS_REPORT,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
3001616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,INCREMENTAL,null,null,null,datamart-layer,DELTA/ENTERPRISE_MART,income_cost_new,1,null,null,SCD-1,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,TGR_DATAMART_DAILY_2,24,null,null,3001610,null,OPERATIONS,null,null,null,null,null,null,null
6000001,MSME_Ganaseva,null,null,null,null,null,null,dm_msme,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datasharing-layer,fileshare_out/msme,null,1,null,null,null,null,null,null,1900-01-01T00:00:00.000Z,null,PULL,QUATERLY,null,null,null,null,null,null,null,null,null,2160,null,null,null,null,null,null,null,null,null,null,null,null
3001521,,,,,,,,,,BRANCH_RISK,,,,,,,",",,,,0,0,FULL_LOAD,,,,datamart-layer,,BRANCH_MANAGER_REPORT,1,,,SCD-0A,,,,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,PULL,MONTHLY,,,,,,,,,TGR_DATAMART_MONTHLY,,,,6000162,,null,null,null,null,null,null,null,null
1002202,FINACLE,null,TABLE,ORACLE,FININDDB,TBAADM,null,LRP,"LCHG_TIME,RCRE_TIME",null,null,null,null,null,null,null,null,null,null,null,null,1,INCREMENTAL,"BANK_ID,ACID",null,null,curated-layer,FINACLE/TBAADM,LRP,1,null,null,SCD-2,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,TGR_FINACLE_EOD_RAW_DAILY,24,null,null,null,null,null,3,null,null,null,null,null,SCD-2
1029012,CREDPRO,null,TABLE,SQLSERVER,CREDPRO_SIT,DBO,"SNO,UniqueID,App_ID,CounterPartyName,PAN_No,CIF_ID,Zone,LMS_ID,Credit_Analyst,UNIT_HEAD,ZONAL_HEAD,RM,Sourcing_Channel,Product,Type_Of_Application,Date_of_Login,Login_Acceptance_date,Sanction_Date,Total_TAT,Banking_Arrangement,Status_of_application,MSME_TYPE,Industry,NatureOfBusiness,BSR_ACTIVITY,Approval_Month,DepartmentType,ReportDate,App_Status,CurrentStage,CurrentRole,CurrentUser,APPROVAL_AUTHORITY,ProposedRating,[Rating Year] AS Rating_Year,ProposedExp,ExistingExp,[Application RM] AS Application_RM,[IBL Fund Exposure] AS IBL_Fund_Exposure,[IBL NonFund Exposure] AS IBL_NonFund_Exposure,Inc_Dec",TBLAPPLICATIONSFORDEPARTMENTRPT,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,CREDPRO/DBO,TBLAPPLICATIONSFORDEPARTMENTRPT,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
1029013,CREDPRO,null,TABLE,SQLSERVER,CREDPRO_SIT,DBO,null,TBLCCBG_MISAPPLICATIONTRACKER,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,CREDPRO/DBO,TBLCCBG_MISAPPLICATIONTRACKER,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
1029014,CREDPRO,null,TABLE,SQLSERVER,CREDPRO_SIT,DBO,"App_ID,[Customer Name] AS Customer_Name,[Group Name] AS Group_Name,PAN,[Business Unit] AS Business_Unit,Zone,[RM Name] AS RM_Name,[ZH Name] AS ZH_Name,[BH Name] AS BH_Name,[Credit Analyst Name] AS Credit_Analyst_Name,Status,[Pending Date] AS Pending_Date,[Purpose of CAM] AS Purpose_of_CAM,[Date of Login to Credit] AS Date_of_Login_to_Credit,[Date of Final Sanction] AS Date_of_Final_Sanction,[No of times returned to Business] AS No_of_times_returned_to_Business,Business_TAT,Credit_TAT,Committee_TAT,Finalization_TAT,Total_TAT,[Holiday or Weekends] AS Holiday_or_Weekends,[Approving Committee] AS Approving_Committee,[Manual Override] AS Manual_Override,[Override Comments] AS Override_Comments,[Sanctioned Amount] AS Sanctioned_Amount,Exposure_Amount,[Internal Approved Rating] AS Internal_Approved_Rating,[Current Role] AS Current_Role,[Current User] AS [Current_User],[Finalized Date] AS Finalized_Date",TBLCCBGTATREPORT,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,CREDPRO/DBO,TBLCCBGTATREPORT,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
1003039,TRADEPRO,null,TABLE,ORACLE,COPRDDB,TIZONE1,null,DLYPRCCYCL,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FULL_LOAD,null,null,null,curated-layer,TRADEPRO/TIZONE1,DLYPRCCYCL,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,null
1024010,NACH,NACH_PROD2,TABLE,ORACLE,NACHOLDB,NACHADM,null,CT_RTRN_INSTRN,PRTN_DATE,null,null,null,null,null,null,null,null,null,null,null,null,1,INCREMENTAL,"OU_ID,DD_POS_TYP,DD_POS_NUM,SQNC_NUM,PRTN_GRP",null,null,curated-layer,NACH/NACHADM,process_layer_CT_RTRN_INSTRN,1,0,null,SCD-2,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-2
1024013,NACH,NACH_PROD2,TABLE,ORACLE,NACHOLDB,NACHADM,null,PYMNT_REG_RPRTNG,ORD_DT,null,null,null,null,null,null,null,null,null,null,null,null,1,INCREMENTAL,"OU_ID,TXN_POS_TYP,TXN_POS_NUM,SQNC_NUM,PRTN_GRP,SEQ_ID",null,null,curated-layer,NACH/NACHADM,process_layer_PYMNT_REG_RPRTNG,1,0,null,SCD-2,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-2
1024014,NACH,NACH_PROD1,TABLE,ORACLE,NACHOLDB,NACHADM,null,BOOKING_REQUEST,PRTN_DATE,null,null,null,null,null,null,null,null,null,null,null,null,1,INCREMENTAL,"OU_ID,TXN_POS_TYP,TXN_POS_NUM,SQNC_NUM,EVENT_TYP,LOT_REF,PRTN_GRP",null,null,curated-layer,NACH/NACHADM,order_layer_BOOKING_REQUEST,1,0,null,SCD-2,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-2
1002205,FINACLE,null,TABLE,ORACLE,FININDDB,TBAADM,null,LRSH,LCHG_TIME,null,null,null,null,null,null,null,null,null,null,null,null,1,INCREMENTAL,"FLOW_START_DATE,FLOW_ID,SHDL_NUM,ACID",null,null,curated-layer,FINACLE/TBAADM,LRSH,1,null,null,SCD-2,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,TGR_FINACLE_EOD_RAW_DAILY,24,null,null,null,null,null,3,null,null,null,null,null,SCD-2
1002209,FINACLE,null,TABLE,ORACLE,FININDDB,TBAADM,null,LTDH,LCHG_TIME,null,null,null,null,null,null,null,null,null,null,null,null,1,INCREMENTAL,"BANK_ID,ACID,FLOW_ID,SHDL_NUM,PART_TRAN_SRL_NUM,TRAN_ID,TRAN_DATE",null,null,curated-layer,FINACLE/TBAADM,LTDH,1,null,null,SCD-2,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,TGR_FINACLE_EOD_RAW_DAILY,24,null,null,null,null,null,3,null,null,null,null,null,SCD-2
1111014,NUCLEUS,null,TABLE,null,DATALAKE,NUCLEUS,null,LOS_MAS_CITY,null,null,null,null,null,null,null,null,null,null,null,null,null,1,ONE TIME LOAD,null,null,null,curated-layer,NUCLEUS,LOS_MAS_CITY,0,null,null,SCD-0,1,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
1002185,FINACLE,null,TABLE,ORACLE,FININDDB,TBAADM,null,LA_ROM,RSP_DATE,null,null,null,null,null,null,null,null,null,null,null,null,0,ONE TIME LOAD,ACID,null,null,curated-layer,FINACLE/TBAADM,LA_ROM,0,null,null,SCD-2,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-2
1097013,MILES,null,Table,SQLSERVER,DWintegra,BI," Scheme_code,Asset_Class,Product_Name,AMC,AMC_ID,Scheme_Name,MutualFund_Scheme_ID,Type_Of_MutualFund,Nature,Classification,Sector,Risk_Rating,Face_Value,BankAMCWise,Tax_Setup,Launch_Date,Issue_Close_Date,Maturity_Date,Status,Plan_ID,Plan_Name,Options,Dividend_Type,Dividend_Options,Dividend_Frequency,SwitchAllowed,CUSIP_ID,CashEquivalent,AMFI_Code,RTA_Code,MF_FundCode,Sector_Code,Class_Code,Created_On,Updated_On,ISIN,Trade_Currency,FP_Asset_Id,FP_Asset_Name,FP_SubAsset_Id,FP_SubAsset_Name,FP_Product_Category_Id,FP_Product_Category_Name,FP_Product_SubCategory_Id,FP_Product_SubCategory_Name,Asset_Class_Code,House_Code,House_Name,Country,Maturity_Period,Liquidity_Period,Lockin_Period,Invest_Pattern,Ext_Map_Code,Min_Appl_Amt,Add_Purchase_Min_Amt,Min_Invest_Days,Holding_Type,Holding_Type_Id,Fund_Name,AMC_Address1,AMC_Address2,AMC_Address3,AMC_City,AMC_Pin,AMC_State,AMC_TelNo,AMC_Fax,AMC_Email,AMC_Local_Address1,AMC_Local_Address2,AMC_Local_Address3,AMC_Local_City,AMC_Local_Pin,AMC_Local_State,AMC_Local_TelNo,AMC_Local_Fax,AMC_Local_Email,AMC_Country,Is_Inhouse_Fund,Include_Units_On_Exdate  ",DM_MutualFund,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,MILES/dbo,DM_MutualFund,0,null,null,SCD-0,null,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,TGR_DATAMART_DAILY_1,24,null,null,null,NULL,null,null,null,null,null,null,null,SCD-0
1106001,TCN,NULL,FILE,FILE-SFTP,null,null,null,Manual_Dial_Report,null,null,null,/TCNSFTP_HOME/IndusInd_Digital_Sumit/SGP-2000109-MD,Manual_Dial_Report*.zip,FILE,.csv,null,null,null,null,null,null,0,TRANSACTIONAL,null,null,null,curated-layer,TCN,Manual_Dial_Report,1,null,null,SCD-0,null,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,SCD-0
1012183,JOCATA,null,TABLE,MYSQL,JG_BL,PROJ_I07,null,i07_app_decision_details,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,JOCATA/PROJ_I07,JCT_STBL_APP_DECISION_DETAILS,1,null,null,SCD-0,1,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
2001002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,INCREMENTAL,"CUSTOMER_ID,DOCUMENT_NUMBER,SOURCE_SYSTEM",null,CUSTOMER_DOCUMENT_DIMENSION_SKEY,datawarehouse-layer,CUSTOMER/DIM_CUSTOMER_DOCUMENT,DIM_CUSTOMER_DOCUMENT,1,null,null,SCD-2,0,null,null,null,null,PULL,HOURLY,N,This column is used for filtering specific source_object_keys based on pipeline architecture,null,null,null,null,null,null,TGR_CUSTOMER_DATAWAREHOUSE_HOURLY,24,null,null,"1002004, 1002105",null,null,null,null,null,null,null,null,SCD-2
1002185,FINACLE,null,TABLE,ORACLE,FININDDB,TBAADM,null,LA_ROM,LCHG_TIME,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,ACID,null,null,curated-layer,FINACLE/TBAADM,LA_ROM,1,null,null,SCD-2,0,null,null,null,null,PULL,DAILY,2,INDICATES TABLE PRIORITY TO BE INGESTED ON DAILY BASIS,null,null,null,null,null,null,TGR_FINACLE_EOD_RAW_DAILY,24,null,null,null,null,null,null,null,null,null,null,null,SCD-2
2001399,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRANSACTIONAL,LOAN_NUMBER,null,"ETL_BATCH_ID,ETL_CREATED_BY,ETL_CREATED_DATE,ETL_JOB_ID,ETL_LAST_UPDATED_BY,ETL_LAST_UPDATED_DATE,ETL_EFFECTIVE_FROM_DATE,ETL_EFFECTIVE_TO_DATE",datawarehouse-layer,ACCOUNT_FACT/LOANS/FACT_GOLD_LOAN_INTEREST,FACT_GOLD_LOAN_INTEREST,1,null,null,SCD-0,0,null,null,null,null,PULL,HOURLY,N,This column is used for filtering specific source_object_keys based on pipeline architecture,null,null,null,null,null,null,TGR_ACCOUNT_FACT_DATAWAREHOUSE_HOURLY,24,null,null,"1002052, 1002118, 1002119, 1002189, 1002197, 1002208, 1063013",null,null,null,null,null,null,null,null,SCD-0
3001355,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datamart-layer,DELTA/ENTERPRISE_MART,dis_amt,1,null,null,SCD-1,0,null,null,null,null,PULL,MONTHLY,null,null,null,null,null,null,null,null,TGR_DATAMART_DAILY_3,720,null,null,"2001006,2001007,3001301,2001005,3001416,2001008,2001009,2001010,2001191",null,DSU,null,null,null,null,null,null,SCD-1
